,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Tubgcp5,27.956147182803498,-0.540754121244759,0.3577697418709495,-1.511458510764204,0.13067167161135707,
Cyfip1,247.6408443991634,-0.3365148261335601,0.18865110668268578,-1.783794603970087,0.07445704672528289,0.7877727042015448
Nipa2,57.57385451780105,-0.21431177120836178,0.3158407802961953,-0.6785436985286711,0.49742702674190675,0.9649844120115794
Nipa1,25.927449529975938,-0.03137136549017285,0.3567568473143301,-0.08793486579539221,0.9299284450310411,
Herc2,158.75457129019813,-0.39634850676656186,0.23561362762686872,-1.682196869334919,0.0925306710040601,0.835045089600868
Atp10a,57.09406074738293,0.0998120555552032,0.28719366996237267,0.347542672400406,0.7281836659965958,0.9845420427778081
Ube3a,285.43170429714627,-0.27192338705135527,0.20542243849360345,-1.3237277730973025,0.18559347115999392,0.924552075358594
Snhg14,13.114937723132112,-1.2202723612903412,0.48624449275256276,-2.509585978820137,0.01208727862918078,
Snrpn,27.282835532953122,-0.11576306326770906,0.43173079569137085,-0.26813714570054437,0.7885937542339698,
A330076H08Rik,7.139095998002974,-0.28344697334945884,0.626089783140433,-0.45272576071710346,0.6507462274360394,
Ndn,534.9992830531099,0.26317449619682465,0.19126747330554378,1.3759500852317512,0.16883708732993563,0.908391266314132
Klf13,430.27074779676775,-0.1332111752893882,0.22675538595059955,-0.5874664221577047,0.5568904953159088,0.9726193330447768
Mtmr10,24.89202652692988,-0.19674690957653826,0.3538024511214966,-0.5560925566029357,0.5781475832530933,
Mphosph10,40.31172061492377,-0.23597717869129886,0.35700416387423584,-0.6609927910376644,0.508616936712138,0.9667239560234276
Mcee,119.6578990169896,0.12726105197964116,0.26766000774577475,0.47545785061963586,0.6344606689935435,0.9802796251612313
Nsmce3,76.55487832689614,0.4784182390356236,0.26484548173356387,1.8064051382115525,0.07085507957623226,0.7744651090923517
Tjp1,80.2376813213847,0.028082363786265822,0.2644533173961644,0.10619024961671032,0.9154314068840789,0.9935055500003961
Tm2d3,84.07770358466132,0.10432499976735517,0.27486804189812447,0.3795457596559064,0.7042826303745691,0.9820665538285057
Pcsk6,140.98676370577903,-0.5165564579609782,0.2524814922005666,-2.0459181124873713,0.0407644279937333,0.6679650130705967
Snrpa1,51.98780040260629,-0.05345100382116715,0.3266126122504565,-0.16365260193987638,0.8700046325326231,0.9918052810871902
Selenos,482.05938887658095,0.1121067934572415,0.1846828356096301,0.607023349447618,0.5438354166291504,0.9715489037165047
Chsy1,34.284947537304575,-0.18946089275212175,0.3463748140619917,-0.5469823008500074,0.584390891803152,
Lrrk1,136.38149396819517,-0.05754683312387507,0.2345290015371608,-0.24537192733819255,0.8061684634429079,0.9875772127952741
Aldh1a3,478.5985008530697,0.5254025558837659,0.17484296667985888,3.0049968029070855,0.0026558364105855135,0.20581240139110435
Asb7,34.460333030200495,-0.1157394510668072,0.33890476424042576,-0.34151025089956943,0.7327194891368157,
Lins1,8.878544262580068,0.379318175775229,0.5576118056475117,0.6802549227499874,0.4963430614290686,
Lysmd4,8.349070888843487,0.026723037947119364,0.5742238882888212,0.04653766325666741,0.9628817156544337,
Mef2a,277.1371488499172,-0.009747481920179457,0.21382951512332377,-0.045585296840605506,0.963640788410983,0.9944852821739768
Lrrc28,15.593005000697856,0.0030980273455967883,0.4319768401533444,0.007171744078911826,0.9942778251777561,
Ttc23,28.147794783233245,-0.18452827906457928,0.3521519349755359,-0.5240018887796216,0.6002772261586415,
Synm,54.21926256377048,0.2297231601126226,0.29508625944660566,0.7784949409146915,0.43627728795339094,0.9589335095447377
Igf1r,290.7344053559408,0.09518344398872691,0.2014332204032351,0.47253101448800655,0.6365478096673491,0.9802796251612313
Arrdc4,72.19574457621054,0.07921027668794485,0.2718566020118288,0.2913678612244934,0.770769991756505,0.9862761821949878
Gm29683,8.130294123605733,0.46671525449899715,0.5963297002645125,0.7826463352269347,0.43383482396042095,
Nr2f2,453.3270432531294,0.07474158208769238,0.22961357936931392,0.3255102868610262,0.7447948983968155,0.9849759672058356
A730056A06Rik,10.880321415682278,-0.737370200481688,0.5421640019296594,-1.360050091590837,0.17381407297118245,
Rgma,124.82911337174122,0.20120071312445076,0.23339762173839443,0.862051256674621,0.3886593125184057,0.9546236746579218
Chd2,143.20886759390342,-0.3490478262416279,0.22541541125413156,-1.5484647846376134,0.12151043394377523,0.8809687146331098
1810026B05Rik,30.23818099699967,-0.7064909332299486,0.37398975025946674,-1.889064961646139,0.05888312469589936,
Fam174b,27.43590067592641,0.21069438067442597,0.3621788819088522,0.5817412091063068,0.5607410095270045,
St8sia2,17.995234869042402,0.23043951490640044,0.43929143653914493,0.5245709243090746,0.5998815035851983,
Slco3a1,176.89318449805617,-0.2605718236065178,0.21188149583003332,-1.2297998113792004,0.21877207888126415,0.9449068990430718
Akap13,824.1540673657983,-0.14647001274793606,0.18300584870600822,-0.8003570037984656,0.42350398473628337,0.9589335095447377
AU020206,24.937777733799262,-0.06255229382775906,0.7781224724448212,-0.08038875118363172,0.9359280732052251,
Ntrk3,109.62469239632496,-0.05299471248519919,0.2762484821965495,-0.19183711730764805,0.8478697954945165,0.9913134394856213
Mrpl46,17.64734987981989,0.206337099300978,0.41141026447414564,0.5015360994084893,0.6159938784573048,
Mrps11,55.66702959952026,-0.010030456175362837,0.2849228257451386,-0.03520411588341823,0.9719169802667713,0.9944852821739768
Aen,23.090856516915682,-0.07138669422445955,0.409285029179904,-0.17441804399124758,0.861536934609173,
Isg20,82.13213324376832,0.15563288685370136,0.2908420388914192,0.5351113870846029,0.5925728363138735,0.9751789196031461
Mfge8,503.6522431301808,0.27422226619480167,0.17331985412026357,1.582174573055685,0.11360972329852102,0.8776878441918459
Abhd2,39.18553047957257,-0.39314665303523116,0.3158632146021335,-1.2446737538919976,0.21325169738818373,0.9398063622276698
Polg,55.842439292687565,-0.20590153591524044,0.2765510255760611,-0.7445336190178417,0.45655371019194546,0.9589335095447377
Kif7,8.555333305214406,0.06411028713900827,0.605136827242332,0.1059434565091091,0.9156272147535702,
Anpep,145.804382044914,-0.11789683106034654,0.23790443493450708,-0.4955638220565433,0.6202021828923722,0.9786369094440929
Ap3s2,29.76383963354947,0.08291892687901259,0.336546228012103,0.24638198255495122,0.8053865522677583,
Arpin,34.80993276674625,0.6150644188325882,0.3659267064401309,1.6808404743566279,0.09279390463635884,
Zfp710,19.831740922264224,-0.10129870911640519,0.39157519248425726,-0.25869542060041956,0.7958702531520021,
Idh2,148.0269745651814,0.3235852033858258,0.26005567221384607,1.244292041896855,0.21339209889080213,0.9398245887930154
Sema4b,13.119137630357118,0.23679392992038645,0.5074590398785763,0.46662668572629223,0.6407669911053222,
Cib1,64.3437000774522,-0.3411258839460205,0.29659860408205424,-1.1501263972626379,0.25009181549657467,0.9474502956129918
Ngrn,18.270336656801987,0.09634637748452464,0.40707444903704776,0.23667999235136514,0.8129050577960836,
Vps33b,9.975795143925627,-0.6432325968294268,0.5555242570306624,-1.15788390639785,0.24691141596152177,
Rccd1,18.928885127865154,0.28555976616161166,0.4147111556432472,0.6885750775589523,0.49109070915018005,
Unc45a,37.67409980041714,-0.15996413374827012,0.3361991326659739,-0.4758017442811202,0.634215627078573,0.9802796251612313
Hddc3,12.8305911843545,-0.1029604474296178,0.5041266014905407,-0.204235299476752,0.8381696276739554,
Man2a2,169.67337660504288,-0.07631635074098873,0.24629241342392247,-0.30986074512019907,0.7566668553920373,0.9849759672058356
Furin,105.2458919755554,0.050348680514921654,0.24590715226315493,0.20474671050251336,0.8377700237070431,0.9911175247666117
Crtc3,216.22594218125363,-0.20542316781792322,0.21432352704974258,-0.9584723182081933,0.33782464366469145,0.9476232049072979
Iqgap1,352.83085126919167,-0.4700422609739366,0.23558341675534933,-1.9952264359170495,0.04601818902600542,0.7006345468264005
Wdr73,8.20881654631022,0.31953569610184424,0.5712075159561035,0.559403871930845,0.5758861194867718,
Nmb,168.91703631073452,0.7054111313047331,0.2572666041898175,2.741945980614972,0.006107638514062985,0.30305311389562883
Sec11a,400.24238985466263,0.18659089489242076,0.2098963912237448,0.8889666649557547,0.3740209954103818,0.9526645485470263
Zfp592,107.33887138573355,-0.14913529259162617,0.2443215387088095,-0.6104058339668962,0.5415930045119208,0.9715489037165047
Alpk3,9.859596738492566,-0.7063838295215249,0.580169039256783,-1.2175483035537842,0.22339566988046478,
Pde8a,88.29707996116511,-0.3880943013001024,0.23534966557509995,-1.649011484047602,0.09914528202642311,0.8557496039836654
Rps17,1760.2803257030578,0.018054676899872606,0.24422920543819196,0.07392513465979307,0.9410699559985226,0.9935055500003961
Cpeb1,57.118439542585506,0.17592380535648094,0.2940619166240655,0.5982542975171633,0.5496702664513924,0.9726193330447768
Whamm,35.880791591613686,-0.06964255895723485,0.3137256461613528,-0.22198554631844433,0.8243251350109279,
Ramac,96.11012965483896,0.06987852351291318,0.26351486786749606,0.2651786750341935,0.7908718218711543,0.9866262364528611
3110040N11Rik,26.782951847697348,0.3553631850118035,0.37693525532770755,0.9427698258228743,0.3457986488312109,
Btbd1,106.41770279422472,-0.46567125158277894,0.228988081812262,-2.033604753126688,0.04199146222376314,0.6729673051134447
Hdgfl3,136.67472673136854,0.14594500028614688,0.2539780250950143,0.5746363301767866,0.5655372762139821,0.9741534950169417
Adamtsl3,29.35186318625788,-0.2915501458709488,0.4075598236298729,-0.7153554618664307,0.47438942586081456,
Efl1,29.947001910031975,-0.20905493883375154,0.36480510429946006,-0.5730592482668312,0.5666045784417709,
