gene,ob_lfc,ob_padj,rescue_lfc,rescue_padj,ceil_lfc,ceil_padj,ex_lfc,ex_padj,is_rescued,is_normalized,class
Bmp3,2.283435508074784,0.0042309018136003,-2.164834542865022,0.0011274810121624,2.728361547745197,0.1899989956186059,-2.517957719436439,0.7814114035188796,True,True,Fully rescued
Rasgef1b,2.1331353221864773,0.000129311590125,-0.2099395183176772,0.9887797457070684,2.6185905970969445,0.5570150409552459,-0.723723300711096,0.9997708173996,True,True,Fully rescued
Sparcl1,-1.4522842002711682,0.0005189414377138,1.5018693070771785,0.46112359615223,-0.3224332521870355,0.9996496209943752,0.3592871359570094,0.9997708173996,True,True,Fully rescued
Pitpnm2,-0.9295192021176693,0.0230880657157794,1.4248248843015887,1.886006461776252e-05,0.144854132411884,0.9996496209943752,0.3506444357446812,0.9997708173996,True,True,Fully rescued
Fscn1,1.155567702815535,0.0001878312227691,-1.5756114928907718,0.0097988252773278,-0.48040069593616797,0.9918505474084146,0.0627835888314148,0.9997708173996,True,True,Fully rescued
Daglb,1.4863236435559823,7.95973529590992e-05,-0.6024373893285956,0.4181247811821922,1.1783824623374242,0.00018307128124400889,-0.2966632360874546,0.9997708173996,True,False,Partially rescued
Tfpi2,0.8622372209847894,0.0299648435611107,-0.132908083241732,0.9531347388046464,0.669803710058177,0.39653223556618516,0.0543882842641811,0.9997708173996,True,True,Fully rescued
Wnt2,1.7419684661539407,1.9598161460928723e-06,-1.729735906398581,0.0011475277047278,0.8312962087263026,0.781149928234438,-0.7893030216797411,0.9221496906834368,True,True,Fully rescued
Mgam,1.760762964238615,2.2040179821025143e-08,-2.252130928448296,0.7952530515340177,1.2618532623777523,0.9996496209943752,-1.6976135258954754,0.9997708173996,True,True,Fully rescued
Gprin3,6.614631717011846,0.049798228270745,-4.501354334651211,0.0016342305526164,2.37783126326537,,,,True,True,Fully rescued
Prokr1,-1.238141846504571,0.0419082934904601,1.013068282924741,0.1367926048374693,-0.4778328790603455,0.664138254780691,0.2616134317348501,0.9997708173996,True,True,Fully rescued
Ret,0.9678127095485132,0.0443126562902518,-0.7402632011614779,0.6744261222274837,0.1831073336799132,0.9996496209943752,0.0482148801383356,0.9997708173996,True,True,Fully rescued
Emp1,0.6392209086472481,0.0020440630048967,-0.3682459837570782,0.4258802799062459,0.25233610578207155,0.9738859422817815,0.0183493229619199,0.9997708173996,True,True,Fully rescued
Il11,1.4672803838693635,0.0280121084700862,-0.1422191215226717,0.9759953829552476,1.4968440919099861,0.04817846480748848,-0.176822421704181,0.9997708173996,True,False,Partially rescued
Aldh1a3,0.7193285428602326,0.0077169105591079,-0.4693234589222467,0.2993957206804961,0.29234442630207763,0.9263742044949017,-0.0431312402349809,0.9997708173996,True,True,Fully rescued
Arnt2,2.155675908838161,2.7140463267746484e-06,-1.5410496235551463,0.0006019242348385,2.4279952525037594,0.012547947907079412,-1.7875125835355083,0.6493153937407606,True,False,Partially rescued
