gene,baseMean,log2FC,lfcSE,stat,pval,padj,n_a,n_b,contrast,cell_state,tissue,contrast_label,method,is_sig
Ly6c1,1511.621892689666,-1.2141942171025284,0.3089091992569351,-3.930586139950539,8.473902667354575e-05,0.008602012062010644,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Ly6h,9.066141012351721,-3.3855186897083933,0.97505735222584,-3.472122621279665,0.0005163604246153086,0.03295504254525029,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Scrib,233.48955474153502,1.039285167566853,0.2476716393094354,4.196221943152698,2.7140429858861157e-05,0.0031874246889462177,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Tef,391.54646762089004,2.1622572248665515,0.21417034875111277,10.09596910812014,5.7559693293830195e-24,3.710297829720294e-20,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Fmnl3,36.50669713899031,-2.104662467454466,0.5713345461789194,-3.6837654602376673,0.00022981371193453657,0.01817643174392666,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Tns2,1269.9872265085298,0.6278114846164397,0.1686592319336726,3.7223665578136544,0.000197364219935875,0.016310381560341668,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Ppl,583.1172784780896,1.264424661124485,0.2264287182119063,5.58420623986908,2.3476997500411248e-08,1.0436739716389717e-05,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Tmem114,15.666627579202684,3.8696737766742153,0.9089947352334133,4.257091517345866,2.071035926987903e-05,0.0026176269775223574,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Pkp2,74.90385632649615,1.5297729821515185,0.37643990776309827,4.063790662477363,4.828213151311786e-05,0.005187110328892629,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Hes1,1642.5881060764589,-0.975832843717209,0.25744203130064225,-3.790495432261509,0.0001503470976938781,0.013460241551871364,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Mylk,849.0657524643821,0.7801244815275217,0.1762252711555949,4.426859305773035,9.56150526030463e-06,0.0013850216383803067,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Boc,1278.8596030309839,0.6709504242049341,0.1682126032705546,3.9887048363776385,6.643502267201968e-05,0.006907099292642562,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Vgll3,1456.1514663735109,-0.9568136247486201,0.19192431502063761,-4.985369491331695,6.184351240315885e-07,0.00016963543870245193,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Map3k7cl,17.45034333057453,-2.809961713086267,0.7700574107896536,-3.6490288564391555,0.0002632335375267055,0.020320998597570587,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Clic6,190.18895650372818,2.478833975472454,0.3523830366128374,7.03448724234687,1.9999509905685076e-12,2.1486140142007664e-09,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Fndc1,688.759072299491,-0.8688539325553006,0.18403731727527262,-4.721074754940695,2.346016887570292e-06,0.00048007697959613025,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Thbs2,431.6232804468281,-1.1179226918035017,0.24755988304192963,-4.515766763446714,6.308807195219175e-06,0.0010041128686514274,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
Cdkn1a,1738.82793316003,-1.247249757124856,0.36165303154301437,-3.448746860501598,0.00056319440880355,0.035075856610122545,3,3,TH_vs_SH,CP,vWAT,rescue_TH_vs_SH,deseq2_pseudobulk,True
