gene,baseMean,log2FC,lfcSE,stat,pval,padj,n_a,n_b,contrast,cell_state,tissue,contrast_label,method,is_sig
Gngt2,146.44809789981056,1.7975241768115942,0.26902731751066905,6.681567483347888,2.363998721849634e-11,1.3277792821055444e-08,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Cwc25,417.85512786504114,1.4153591522442213,0.29148446807487344,4.855693209288458,1.1996631635945178e-06,0.00019483686078619397,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
B230217C12Rik,213.61567089247967,-1.0350219259284998,0.2694339452366194,-3.8414681751385635,0.0001223005947559814,0.007392879001392957,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Wnk4,54.25415653333699,-1.4321457649468894,0.39199756054805784,-3.653455809634591,0.00025873433443704283,0.012728973825588824,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Arl4d,294.95262242856427,-1.0658255221920718,0.30106318189221687,-3.5402054661524383,0.0003998156309811334,0.01761279315563947,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Higd1b,74.58327802449482,1.4744807325065088,0.41728811219097267,3.5334836757384305,0.0004101214159369443,0.017949469762435093,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Hexim1,806.9904560634036,-0.7636961399231322,0.23214311521695605,-3.289764330117643,0.0010027132664285042,0.035569933766990094,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Itgb3,58.19565945005127,1.6337677123971905,0.42703625834330017,3.8258290261708474,0.00013033272700406154,0.007739582202708147,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Ace,3663.9681456089133,-0.5795202823940465,0.15589691913358844,-3.7173299229695114,0.00020133944035835672,0.010513649026683334,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Cacng4,39.3696084776213,-1.9134060215109585,0.4874719848194922,-3.925160996112383,8.667175114346517e-05,0.005671530123368498,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Sox9,1258.4894051282154,-0.8738116587316233,0.17985135626977297,-4.8585213748453775,1.1826564293192359e-06,0.0001944171788685768,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
